,Database_connection,Database Name,Table Name,Column Name
0,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
1,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
2,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
3,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
4,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Skype Warning Zone
5,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Time
6,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Skype Employee
