,Database_connection,Database Name,Table Name,Column Name
0,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
1,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Skype Server Load
2,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
3,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
4,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
5,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Skype Alert Zone
6,"excel-direct,excel-direct","Skype - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Time
