,Database_connection,Database Name,Table Name,Column Name
0,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Teams Alert Zone
1,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
2,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
3,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Location
4,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Teams Server Load
5,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Time
6,"excel-direct,excel-direct","Teams - Copy.xlsx,VPN - Copy.XLSX",Sheet1,Date
